author,date,time,comment
@user-xf3xr9io5w,2023-10-07,2023-10-07T06:37:08Z,"Знаете эти кадры мне напоминают Мариуполь\я с Мариуполя\ когда были нацыки  исчезнувшие люди потом найденные в батрацких могилах изнасилованые девушки с задували туда потом,   пеной да у нас был аэропорт так туда свозили всех негодных и редко кто от туда возвращался а АЗОВСТАЛЬ когда как крыс загнали азов и они как в отместку стреляли по городу куда попало и с чего попало особенно это было видно ночью  так что я делаю выводы что это всё сделала Украина что бы опорочит Россию."
@mrkrscrew,2023-10-05,2023-10-05T17:37:49Z,я умер .
@wasilijsaizev1,2023-10-04,2023-10-04T16:13:22Z,"Сидя в Z-каналах где задвигали все эти видосы с двигающимися в зеркале трупами, я тоже (ненадолго) поверил, что это фейк. Но надо смотреть правде в глаза, эта война преступная и эти убийства на совести русских и путлера. Даже весь Донбас с 2014 года не состоялся бы если бы пыня не полез туда."
@atlas4959,2023-10-03,2023-10-03T19:02:43Z,"Помогите пожалуйста решить проблему . Я включаю видео с возрастным ограничением; вылезает плашка &#39;&#39;В видео может быть натуралистичный контент или сцены насилия. Принимайте решение о просмотре самостоятельно&#39;&#39;. Далее я жму &#39;&#39;Я понимаю и хочу продолжить&#39;&#39; и после этого почему-то меня перекидывает на главную страницу, хотя раньше всё открывалось и работало. Как решить эту проблему?"
@deterkot,2023-10-03,2023-10-03T11:42:30Z,"Ало русские харе оправдыватся, тут и так понятно что вы огресоры. Не надо идти на митинги просто анонимно донатьте на всу (притула, стерненко) не важно, мир придетт. Слава Украине!"
@audit752,2023-10-01,2023-10-01T18:55:29Z,Может хватит врать и гнать пропаганду! Себя так пропагандируйте лучше скоты!!!!!! Россия так не будет делать НИКОГДА!!!!!!!!!!
@SerjKur,2023-10-01,2023-10-01T17:26:44Z,FAKE
@_wania,2023-09-30,2023-09-30T22:03:15Z,Наши прадеды нас бы прокляли...
@economist9638,2023-09-30,2023-09-30T21:33:15Z,своего первого украинца я убил в 3 года
@SoSadMaybe,2023-09-30,2023-09-30T19:19:06Z,"макс, а что плохого то сделали?"
@purpmosh,2023-09-30,2023-09-30T15:07:56Z,Тот же почерк как и в русско чеченскую войну
@yellowraptor3864,2023-09-30,2023-09-30T11:17:21Z,"Жалко что наш Русский националист и великий путинист &quot;Кац&quot; больше не снимает такого веселого контента( давно так не ржал, как над кадрами мертвых детей в буче"
@user-ze5kn1uf8j,2023-09-29,2023-09-29T18:32:06Z,"Враньё. Где доказательства, что это наша армия?"
@ASever-km6ub,2023-09-28,2023-09-28T20:09:35Z,"Смотрю это только спустя полтора года, ранее Максима не знал. Чудовищно и безобразно, ужасно всё это! Не знаю когда и как всё это закончится..."
@user-lk7yp2el2u,2023-09-28,2023-09-28T09:16:22Z,Иноагент кац защищает украинских нацистов только  они его же и завалят ... Как их предки в 41 году в бабьем яру
@user-jq5of4km2z,2023-09-27,2023-09-27T20:14:33Z,ЗА ДОМБАСС🎉🎉🎉
