Date,Closing,Opening,High,Low,Volume,Diff %
30.06.2022,1069.05,1099.51,1105.88,1000.77,1710000.00,-2.77000
29.06.2022,1099.51,1143.95,1155.02,1088.1,1540000.00,-3.89000
28.06.2022,1143.97,1191.02,1234.96,1137.57,1320000.00,-3.94000
27.06.2022,1190.84,1198.03,1237.14,1176.77,1070000.00,-0.6000
26.06.2022,1198.03,1241.8,1276.81,1196.2,1130000.00,-3.52000
25.06.2022,1241.76,1224.96,1255.55,1181.11,1030000.00,1.37000
24.06.2022,1225.03,1144.33,1244.82,1132.87,1660000.00,7.07000
23.06.2022,1144.19,1049.02,1152.97,1046.57,1570000.00,9.07000
22.06.2022,1049.02,1125.96,1127.06,1045.37,1580000.00,-6.83000
21.06.2022,1125.96,1128.29,1192.27,1110.63,1600000.00,-0.21000
20.06.2022,1128.32,1128.39,1165.62,1056.58,2040000.00,-0.01000
19.06.2022,1128.39,995.49,1152.07,938.24,2420000.00,13.34000
18.06.2022,995.61,1086.47,1096.93,883.35,2770000.00,-8.36000
17.06.2022,1086.47,1068.49,1116.46,1052.17,1450000.00,1.68000
16.06.2022,1068.49,1237.92,1254.28,1052.65,1760000.00,-13.69000
15.06.2022,1237.92,1208.82,1244.8,1016.99,3730000.00,2.24000
14.06.2022,1210.84,1206.67,1261.39,1078.11,3270000.00,0.35000
13.06.2022,1206.67,1434.43,1454.07,1168.68,4390000.00,-15.94000
12.06.2022,1435.46,1531.5,1542.01,1430.93,1820000.00,-6.27000
11.06.2022,1531.42,1663.04,1681.58,1503.15,1440000.00,-7.91000
10.06.2022,1663.02,1788.15,1803.54,1657.3,1130000.00,-6.99000
09.06.2022,1788.06,1792.81,1832.7,1778,625760.00,-0.28000
08.06.2022,1793,1813.05,1837.41,1766.94,1090000.00,-1.14000
07.06.2022,1813.72,1859.99,1870.99,1727.77,1640000.00,-2.49000
06.06.2022,1859.99,1806.11,1919.4,1804.77,939370.00,2.95000
05.06.2022,1806.71,1804.6,1829.25,1773.65,437730.00,0.13000
04.06.2022,1804.37,1775.28,1815.19,1748.89,442100.00,1.64000
03.06.2022,1775.29,1834.66,1843.31,1740.83,884530.00,-3.24000
02.06.2022,1834.64,1817.98,1851.25,1784.23,975530.00,0.91000
